energy,energy_mean,energy_var,order,order_mean,order_var
-1.18,-1.27512,0.00315266,0.18,0.312225,0.00635412
-1.18,-1.27487,0.00316306,0.18,0.311871,0.00637828
-1.16,-1.27456,0.00318198,0.2,0.311573,0.00639064
-1.16,-1.27425,0.00320056,0.18,0.311223,0.00641419
-1.14,-1.2739,0.00322922,0.2,0.310928,0.00642603
-1.1,-1.27344,0.0032828,0.22,0.310688,0.00642828
-1.1,-1.27298,0.00333591,0.22,0.310448,0.00643038
-1.1,-1.27253,0.00338797,0.22,0.31021,0.0064324
-1.1,-1.27207,0.00343996,0.2,0.309921,0.00644357
-1.1,-1.27162,0.00349098,0.18,0.309581,0.0064656
-1.1,-1.27117,0.00354166,0.2,0.309295,0.00647631
-1.08,-1.27068,0.00360649,0.22,0.309062,0.00647772
-1.04,-1.27008,0.00370455,0.2,0.308779,0.00648807
-1.02,-1.26943,0.00382078,0.18,0.308445,0.00650909
-1.02,-1.26879,0.00393571,0.2,0.308165,0.00651902
-1.04,-1.2682,0.00403041,0.18,0.307835,0.00653947
-1.04,-1.26761,0.00412391,0.2,0.307558,0.00654897
-1.04,-1.26703,0.00421654,0.18,0.307231,0.00656892
-1.04,-1.26644,0.00430799,0.18,0.306905,0.00658855
-1.04,-1.26587,0.00439869,0.16,0.30653,0.00662023
-1.04,-1.26529,0.00448824,0.16,0.306158,0.00665148
-1.04,-1.26472,0.00457673,0.16,0.305787,0.00668233
-1.04,-1.26415,0.00466463,0.16,0.305418,0.0067128
-1.04,-1.26359,0.00475122,0.16,0.30505,0.00674287
-1.04,-1.26302,0.00483708,0.14,0.304635,0.00678632
-1.02,-1.26241,0.00494019,0.12,0.304171,0.00684471
-1,-1.26175,0.00506179,0.1,0.303659,0.0069196
-1,-1.2611,0.0051823,0.08,0.3031,0.00701248
-1.02,-1.2605,0.00528206,0.1,0.302593,0.00708562
-1.04,-1.25995,0.00536275,0.12,0.302139,0.00714104
-1.04,-1.2594,0.00544269,0.14,0.301737,0.00718076
-1.04,-1.25886,0.00552152,0.16,0.301386,0.00720677
-1.04,-1.25832,0.00559973,0.16,0.301037,0.00723244
-1.04,-1.25778,0.00567709,0.14,0.30064,0.00727087
-1.04,-1.25725,0.00575337,0.14,0.300246,0.00730884
-1.04,-1.25672,0.00582921,0.16,0.299902,0.00733337
-1.04,-1.25619,0.00590427,0.14,0.299511,0.00737051
-1.04,-1.25566,0.0059785,0.14,0.299122,0.00740717
-1.04,-1.25513,0.00605192,0.12,0.298686,0.0074579
-1.02,-1.25456,0.00614135,0.1,0.298204,0.00752421
-1.04,-1.25404,0.00621317,0.12,0.297772,0.00757372
-1.02,-1.25348,0.00630063,0.14,0.297391,0.00760838
-1.04,-1.25296,0.00637095,0.12,0.296964,0.00765682
-1.04,-1.25245,0.00644044,0.14,0.296586,0.00769057
-1.04,-1.25194,0.00650895,0.12,0.296163,0.007738
-1.04,-1.25144,0.00657703,0.14,0.295789,0.00777086
-1.04,-1.25093,0.00664421,0.14,0.295418,0.00780332
-1.04,-1.25043,0.00671085,0.12,0.295,0.00784926
-1.04,-1.24993,0.00677671,0.12,0.294584,0.00789468
-1.04,-1.24943,0.00684168,0.14,0.294218,0.00792585
-1.08,-1.24903,0.00687819,0.16,0.293901,0.00794458
-1.08,-1.24863,0.00691419,0.14,0.293538,0.00797505
-1.1,-1.24828,0.00693832,0.12,0.293129,0.00801869
-1.1,-1.24793,0.00696211,0.14,0.29277,0.00804833
-1.1,-1.24759,0.00698581,0.14,0.292412,0.00807762
-1.1,-1.24724,0.00700901,0.12,0.292009,0.00811991
-1.1,-1.2469,0.00703216,0.14,0.291655,0.00814841
-1.1,-1.24656,0.00705469,0.14,0.291302,0.00817657
-1.08,-1.24617,0.00708834,0.16,0.290998,0.00819279
-1.1,-1.24583,0.00711026,0.18,0.290741,0.00819893
-1.1,-1.2455,0.00713203,0.2,0.290531,0.00819671
-1.06,-1.24507,0.00717727,0.18,0.290276,0.00820259
-1.06,-1.24464,0.00722169,0.16,0.289977,0.00821806
-1.06,-1.24422,0.00726585,0.16,0.289679,0.00823333
