"pressure [MPa]","density [g/ml]","viscosity [Pa*s]","enthalpy [kJ/kg]"
3.39000,9.39090352e-01,2.19446790e-04,5.35103353e+02
3.40000,9.39095434e-01,2.19449401e-04,5.35110224e+02
3.41000,9.39100515e-01,2.19452012e-04,5.35117095e+02
3.42000,9.39105596e-01,2.19454623e-04,5.35123967e+02
3.43000,9.39110677e-01,2.19457235e-04,5.35130838e+02
3.44000,9.39115757e-01,2.19459846e-04,5.35137709e+02
3.45000,9.39120838e-01,2.19462457e-04,5.35144581e+02
3.46000,9.39125918e-01,2.19465068e-04,5.35151452e+02
3.47000,9.39130999e-01,2.19467679e-04,5.35158324e+02
3.48000,9.39136079e-01,2.19470290e-04,5.35165196e+02
3.49000,9.39141158e-01,2.19472901e-04,5.35172067e+02
3.50000,9.39146238e-01,2.19475512e-04,5.35178939e+02
3.51000,9.39151318e-01,2.19478123e-04,5.35185811e+02
3.52000,9.39156397e-01,2.19480734e-04,5.35192683e+02
3.53000,9.39161476e-01,2.19483345e-04,5.35199555e+02
3.54000,9.39166555e-01,2.19485955e-04,5.35206427e+02
3.55000,9.39171634e-01,2.19488566e-04,5.35213300e+02
3.56000,9.39176712e-01,2.19491177e-04,5.35220172e+02
3.57000,9.39181791e-01,2.19493787e-04,5.35227044e+02
3.58000,9.39186869e-01,2.19496398e-04,5.35233917e+02
3.59000,9.39191947e-01,2.19499009e-04,5.35240789e+02
3.60000,9.39197025e-01,2.19501619e-04,5.35247662e+02
3.61000,9.39202103e-01,2.19504230e-04,5.35254534e+02
3.62000,9.39207181e-01,2.19506840e-04,5.35261407e+02
3.63000,9.39212258e-01,2.19509450e-04,5.35268280e+02
3.64000,9.39217335e-01,2.19512061e-04,5.35275153e+02
3.65000,9.39222412e-01,2.19514671e-04,5.35282026e+02
3.66000,9.39227489e-01,2.19517281e-04,5.35288899e+02
3.67000,9.39232566e-01,2.19519892e-04,5.35295772e+02
3.68000,9.39237643e-01,2.19522502e-04,5.35302645e+02
3.69000,9.39242719e-01,2.19525112e-04,5.35309518e+02
3.70000,9.39247795e-01,2.19527722e-04,5.35316392e+02
3.71000,9.39252871e-01,2.19530332e-04,5.35323265e+02
3.72000,9.39257947e-01,2.19532942e-04,5.35330138e+02
3.73000,9.39263023e-01,2.19535552e-04,5.35337012e+02
3.74000,9.39268099e-01,2.19538162e-04,5.35343886e+02
